Profile 1             
x       y           
[m]     [m]         
0  -1,8152637e-007            
5,0276521e-008  -2,0049006e-007            
1,0055304e-007  -2,201602e-007            
1,5082956e-007  -2,4027431e-007            
2,0110608e-007  -2,5409837e-007            
2,513826e-007  -2,5801291e-007            
3,0165913e-007  -2,5740456e-007            
3,5193565e-007  -2,5331411e-007            
4,0221217e-007  -2,5036517e-007            
4,5248869e-007  -2,4720406e-007            
5,0276521e-007  -2,3672412e-007            
5,5304173e-007  -2,0852051e-007            
6,0331825e-007  -1,7823528e-007            
6,5359477e-007  -1,4985159e-007            
7,0387129e-007  -1,2017194e-007            
7,5414781e-007  -9,4588155e-008            
8,0442433e-007  -8,0964322e-008            
8,5470085e-007  -8,8695981e-008            
9,0497738e-007  -1,1627188e-007            
9,552539e-007  -1,4389904e-007            
1,0055304e-006  -1,7049066e-007            
1,0558069e-006  -1,9393146e-007            
1,1060835e-006  -2,1367843e-007            
1,15636e-006  -2,1240154e-007            
1,2066365e-006  -1,9811587e-007            
1,256913e-006  -1,8412504e-007            
1,3071895e-006  -1,667697e-007            
1,3574661e-006  -1,4914693e-007            
1,4077426e-006  -1,3207044e-007            
1,4580191e-006  -1,3206979e-007            
1,5082956e-006  -1,5339305e-007            
1,5585721e-006  -1,7567093e-007            
1,6088487e-006  -1,9737195e-007            
1,6591252e-006  -2,1892256e-007            
1,7094017e-006  -2,3950566e-007            
1,7596782e-006  -2,4823627e-007            
1,8099548e-006  -2,4727774e-007            
1,8602313e-006  -2,4376063e-007            
1,9105078e-006  -2,421579e-007            
1,9607843e-006  -2,413677e-007            
2,0110608e-006  -2,3893248e-007            
2,0613374e-006  -2,3284562e-007            
2,1116139e-006  -2,0605257e-007            
2,1618904e-006  -1,7532644e-007            
2,2121669e-006  -1,5079479e-007            
2,2624434e-006  -1,3543832e-007            
2,31272e-006  -1,1667617e-007            
2,3629965e-006  -1,0902091e-007            
2,413273e-006  -1,2229856e-007            
2,4635495e-006  -1,4803326e-007            
2,513826e-006  -1,7337236e-007            
2,5641026e-006  -1,954484e-007            
2,6143791e-006  -2,1690985e-007            
2,6646556e-006  -2,3774664e-007            
2,7149321e-006  -2,5656296e-007            
2,7652086e-006  -2,6116492e-007            
2,8154852e-006  -2,6242717e-007            
2,8657617e-006  -2,6379386e-007            
2,9160382e-006  -2,6502706e-007            
2,9663147e-006  -2,6297999e-007            
3,0165913e-006  -2,6131006e-007            
3,0668678e-006  -2,587643e-007            
3,1171443e-006  -2,4554551e-007            
3,1674208e-006  -2,1712905e-007            
3,2176973e-006  -1,8634729e-007            
3,2679739e-006  -1,6056758e-007            
3,3182504e-006  -1,3238219e-007            
3,3685269e-006  -1,0998879e-007            
3,4188034e-006  -1,1356446e-007            
3,4690799e-006  -1,3905031e-007            
3,5193565e-006  -1,6558351e-007            
3,569633e-006  -1,8910412e-007            
3,6199095e-006  -2,1350864e-007            
3,670186e-006  -2,3424419e-007            
3,7204625e-006  -2,3972992e-007            
3,7707391e-006  -2,3255956e-007            
3,8210156e-006  -2,166691e-007            
3,8712921e-006  -1,9804892e-007            
3,9215686e-006  -1,7778352e-007            
3,9718451e-006  -1,5779465e-007            
4,0221217e-006  -1,5253105e-007            
4,0723982e-006  -1,6746741e-007            
4,1226747e-006  -1,9373001e-007            
4,1729512e-006  -2,1472874e-007            
4,2232278e-006  -2,3542944e-007            
4,2735043e-006  -2,5344284e-007            
4,3237808e-006  -2,6151403e-007            
4,3740573e-006  -2,5788693e-007            
4,4243338e-006  -2,5304492e-007            
4,4746104e-006  -2,4812215e-007            
4,5248869e-006  -2,4621842e-007            
4,5751634e-006  -2,4426367e-007            
4,6254399e-006  -2,4074069e-007            
4,6757164e-006  -2,3139397e-007            
4,725993e-006  -2,0961243e-007            
4,7762695e-006  -1,8767871e-007            
4,826546e-006  -1,7144895e-007            
4,8768225e-006  -1,6367829e-007            
4,927099e-006  -1,5138141e-007            
4,9773756e-006  -1,4068121e-007            
