Profile 1             
x       y           
[m]     [m]         
0  -2,5415451e-007            
5,0276521e-008  -2,7128458e-007            
1,0055304e-007  -2,7694693e-007            
1,5082956e-007  -2,7630654e-007            
2,0110608e-007  -2,7392281e-007            
2,513826e-007  -2,7411757e-007            
3,0165913e-007  -2,7307269e-007            
3,5193565e-007  -2,6904543e-007            
4,0221217e-007  -2,6641795e-007            
4,5248869e-007  -2,6252103e-007            
5,0276521e-007  -2,0448292e-007            
5,5304173e-007  -1,3283341e-007            
6,0331825e-007  -9,9103414e-008            
6,5359477e-007  -9,2274635e-008            
7,0387129e-007  -9,249102e-008            
7,5414781e-007  -9,1245875e-008            
8,0442433e-007  -1,0546555e-007            
8,5470085e-007  -1,7137127e-007            
9,0497738e-007  -2,2852352e-007            
9,552539e-007  -2,3924882e-007            
1,0055304e-006  -2,4201162e-007            
1,0558069e-006  -2,4276864e-007            
1,1060835e-006  -2,0013423e-007            
1,15636e-006  -1,5794161e-007            
1,2066365e-006  -1,3656503e-007            
1,256913e-006  -1,3034527e-007            
1,3071895e-006  -1,262679e-007            
1,3574661e-006  -1,2474782e-007            
1,4077426e-006  -1,3672499e-007            
1,4580191e-006  -1,8257194e-007            
1,5082956e-006  -2,5443646e-007            
1,5585721e-006  -2,6670067e-007            
1,6088487e-006  -2,6684285e-007            
1,6591252e-006  -2,6513348e-007            
1,7094017e-006  -2,6431343e-007            
1,7596782e-006  -2,6424027e-007            
1,8099548e-006  -2,6213431e-007            
1,8602313e-006  -2,5886094e-007            
1,9105078e-006  -2,5655801e-007            
1,9607843e-006  -2,5606186e-007            
2,0110608e-006  -2,5280999e-007            
2,0613374e-006  -2,1736361e-007            
2,1116139e-006  -1,3227288e-007            
2,1618904e-006  -1,0369328e-007            
2,2121669e-006  -1,006897e-007            
2,2624434e-006  -1,0893652e-007            
2,31272e-006  -1,1857713e-007            
2,3629965e-006  -1,3773498e-007            
2,413273e-006  -2,0065417e-007            
2,4635495e-006  -2,6057456e-007            
2,513826e-006  -2,6456461e-007            
2,5641026e-006  -2,6892829e-007            
2,6143791e-006  -2,7051782e-007            
2,6646556e-006  -2,722516e-007            
2,7149321e-006  -2,7371809e-007            
2,7652086e-006  -2,7491396e-007            
2,8154852e-006  -2,7655094e-007            
2,8657617e-006  -2,7741052e-007            
2,9160382e-006  -2,797686e-007            
2,9663147e-006  -2,7737822e-007            
3,0165913e-006  -2,7587416e-007            
3,0668678e-006  -2,6810121e-007            
3,1171443e-006  -1,9706313e-007            
3,1674208e-006  -1,482696e-007            
3,2176973e-006  -1,2426098e-007            
3,2679739e-006  -1,1985872e-007            
3,3182504e-006  -1,1781328e-007            
3,3685269e-006  -1,2262666e-007            
3,4188034e-006  -1,7162144e-007            
3,4690799e-006  -2,5249818e-007            
3,5193565e-006  -2,6062915e-007            
3,569633e-006  -2,6444786e-007            
3,6199095e-006  -2,6858508e-007            
3,670186e-006  -2,572813e-007            
3,7204625e-006  -2,0016977e-007            
3,7707391e-006  -1,7103184e-007            
3,8210156e-006  -1,5962757e-007            
3,8712921e-006  -1,5147362e-007            
3,9215686e-006  -1,4896132e-007            
3,9718451e-006  -1,582009e-007            
4,0221217e-006  -1,9208406e-007            
4,0723982e-006  -2,5880292e-007            
4,1226747e-006  -2,8833517e-007            
4,1729512e-006  -2,8717713e-007            
4,2232278e-006  -2,8452439e-007            
4,2735043e-006  -2,8145872e-007            
4,3237808e-006  -2,7705662e-007            
4,3740573e-006  -2,723476e-007            
4,4243338e-006  -2,6737323e-007            
4,4746104e-006  -2,6224404e-007            
4,5248869e-006  -2,6064408e-007            
4,5751634e-006  -2,5794374e-007            
4,6254399e-006  -2,487406e-007            
4,6757164e-006  -2,0768239e-007            
4,725993e-006  -1,4262248e-007            
4,7762695e-006  -1,1906004e-007            
4,826546e-006  -1,1253723e-007            
4,8768225e-006  -1,1749725e-007            
4,927099e-006  -1,2251775e-007            
4,9773756e-006  -1,2465879e-007            
