# www.neaspec.com
# Scan:	 	Approach Curve
# Project:	 	Test
# Description:	 	calibration_sample_TGQ1_new_tip_approach
# Date:	 	02/23/2024 11:42:42
# Scanner Center Position (X, Y):	[µm]	50.15	48.86	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.050
# Pixel Area (X, Y, Z):	[px]	1	1	1000
# Averaging:	 	1	 	 
# Integration time:	[ms]	10	 	 
# Laser Source:	 	
# Detector:	 	None
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	273,028.232	 	 
# Tip Amplitude:	[mV]	9.800	 	 
# Tapping Amplitude:	[nm]	70.224	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	85.15	 	 
# Regulator (P, I, D):	 	1.851189	2.633179	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	14.000	 	 
# Q-Factor:	 	380.2	 	 
# Version:	 	1.10.9592.0
Row	Column	Run	Depth	Z	M	EA	EP	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	6.814354E-07	NaN	NaN	NaN	127.2973	0	70.30914	2.105615	0.002197455	0.139821	0.001254581	-1.097128	0.002734545	-1.334773	0	0	-1.00244	0	0.0006439602	-3.10225	0.0008630285	0.4615775	0.0007938357	2.097241	0.001019044	2.362665	0	0	
0	0	0	1	6.814835E-07	NaN	NaN	NaN	127.2871	0	70.15814	2.100255	0.003441012	-0.8062724	0.001881777	-1.067424	0.001488494	0.05476163	0	0	-1.001884	0	0.0008353702	1.039885	0.001574926	0.7452632	0.0008373462	0.3470184	0.0006052427	-2.060334	0	0	
0	0	0	2	6.815335E-07	NaN	NaN	NaN	127.274	0	70.34978	2.095383	0.002218456	0.9302591	0.0008303514	-1.551542	0.0007116779	2.715173	0	0	-1.002874	0	0.001327384	-1.697773	0.001329904	-2.831175	0.0007422107	2.854833	0.001187717	-0.8348538	0	0	
0	0	0	3	6.815836E-07	NaN	NaN	NaN	127.3069	0	70.31736	2.098416	0.003327554	-2.467869	0.00229399	0.5319359	0.003226512	0.2858463	0	0	-1.001634	0	0.003299216	-2.097534	0.001682197	-1.424727	0.0005360916	-1.221474	0.0007217242	-1.56081	0	0	
0	0	0	4	6.816337E-07	NaN	NaN	NaN	127.3054	0	70.30701	2.096324	0.003190962	-0.6553619	0.0002798219	0.2005928	0.001878045	-1.254261	0	0	-1.002625	0	0.001354752	-1.654129	0.0003219304	-0.4727112	0.0003252152	-1.305789	0.0009587319	1.96246	0	0	
0	0	0	5	6.816837E-07	NaN	NaN	NaN	127.3011	0	70.53593	2.084755	0.004880669	0.9447629	0.0009349133	-0.9473106	0.002375806	0.04463376	0	0	-1.001966	0	0.001249887	-0.6644881	0.002719635	2.643353	0.0007748425	-2.487185	0.0009691584	-2.137318	0	0	
0	0	0	6	6.817338E-07	NaN	NaN	NaN	127.2826	0	70.45611	2.093155	0.003884973	0.6071241	7.293934E-05	2.441935	0.0009020652	-0.5527922	0	0	-1.001934	0	0.00120693	0.2487177	0.001986538	2.662346	0.0005154762	-2.69766	0.0004937003	2.17102	0	0	
0	0	0	7	6.817838E-07	NaN	NaN	NaN	127.2783	0	70.40482	2.092275	0.001697197	-1.986371	0.001196874	1.290431	0.001896706	-0.8364004	0	0	-1.001573	0	0.001075189	0.6356497	0.0003511446	-1.806428	0.0006749717	0.1414117	0.0007122604	1.007663	0	0	
0	0	0	8	6.818339E-07	NaN	NaN	NaN	127.2888	0	70.73895	2.08565	0.002796527	-0.9723678	0.00114002	-2.309641	0.0007592494	0.1929457	0	0	-1.002082	0	0.0008040689	0.3655805	0.0009443978	1.95589	0.0005391278	2.226719	0.001007804	1.740304	0	0	
0	0	0	9	6.818839E-07	NaN	NaN	NaN	127.301	0	70.72075	2.086271	0.001035126	2.745076	0.0006393928	1.212869	0.002322754	0.6235724	0	0	-1.001855	0	0.000964098	0.926935	0.0007834896	-1.28292	0.0003287325	0.4794648	0.0009927559	-1.748201	0	0	
0	0	0	10	6.81934E-07	NaN	NaN	NaN	127.296	0	70.70798	2.087325	0.001927918	2.81688	7.422559E-05	2.503297	0.002796376	-1.782469	0	0	-1.001976	0	0.000932711	0.2576228	0.001549715	-1.68134	0.000748136	-1.814014	0.0002371277	2.888073	0	0	
0	0	0	11	6.81984E-07	NaN	NaN	NaN	127.2842	0	70.88222	2.083094	0.00384586	-1.605288	0.000964376	0.4700756	0.0006611954	-2.73672	0	0	-1.001994	0	0.001385242	3.093113	0.002018392	-0.5568354	0.0002051644	-3.137904	0.001269628	-1.450883	0	0	
