# www.neaspec.com
# Scan:	 	Approach Curve (PsHet)
# Project:	 	Test
# Description:	 	two_coupled_approach_curve_on_wg
# Date:	 	03/26/2024 14:48:11
# Scanner Center Position (X, Y):	[µm]	72.61	65.78	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.500
# Pixel Area (X, Y, Z):	[px]	1	1	1000
# Averaging:	 	1	 	 
# Integration time:	[ms]	92	 	 
# Laser Source:	 	Tunable VIS
# Detector:	 	NIR
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	PsHet
# Tip Frequency:	[Hz]	261,363.498	 	 
# Tip Amplitude:	[mV]	27.500	 	 
# Tapping Amplitude:	[nm]	71.187	 	 
# Modulation Frequency:	[Hz]	302.605	 	 
# Modulation Amplitude:	[mV]	9,900.000	 	 
# Modulation Offset:	[mV]	-1,364.719	 	 
# Setpoint:	[%]	80.09	 	 
# Regulator (P, I, D):	 	2.415991	3.802052	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	14.000	 	 
# Q-Factor:	 	491.2	 	 
# Version:	 	1.10.9592.0
Row	Column	Run	Depth	Z	M	EA	EP	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	1.046754E-06	NaN	NaN	NaN	292.1591	0	72.53426	2.244157	0.006749373	-2.773098	0.00106536	2.875299	0.0005291255	0.2682163	0	0	475.0708	0	0.03919898	-2.533168	0.03295777	0.4765357	0.01231283	-2.596316	0.0144146	0.8914942	0	0	
0	0	0	1	1.047248E-06	NaN	NaN	NaN	291.9777	0	73.12856	2.233763	0.005084067	-2.73966	0.0004024922	2.538357	0.0009324829	-0.9623534	0	0	475.2421	0	0.03759043	-2.412054	0.0372772	0.5508217	0.008277349	-2.708324	0.003965345	-0.03066459	0	0	
0	0	0	2	1.047748E-06	NaN	NaN	NaN	291.8001	0	73.51973	2.225509	0.004619749	-2.493835	0.0006558165	-1.087976	0.001088571	0.2511326	0	0	475.3803	0	0.03787107	-2.398508	0.04049209	0.516699	0.009925804	-3.036015	0.008703261	-0.7639855	0	0	
0	0	0	3	1.048249E-06	NaN	NaN	NaN	292.2823	0	73.89755	2.216267	0.002734217	-2.438145	0.0004063256	-2.474727	0.0005715638	-0.1130897	0	0	475.5047	0	0.03668673	-2.441557	0.03396849	0.5412626	0.01423191	-3.015369	0.004247773	-2.88704	0	0	
0	0	0	4	1.048749E-06	NaN	NaN	NaN	292.1782	0	74.3464	2.209733	0.005266389	-2.880708	0.001242019	2.721347	0.0006705689	-1.867665	0	0	475.6537	0	0.03728014	-2.452089	0.03794281	0.4943294	0.01049372	-2.864042	0.008936752	0.9941018	0	0	
0	0	0	5	1.049249E-06	NaN	NaN	NaN	292.2116	0	74.67513	2.202545	0.006636056	-2.686008	0.0002352211	-2.328907	0.001175998	0.8688899	0	0	475.6756	0	0.036193	-2.473458	0.03725297	0.4825729	0.008175435	-2.409535	0.008526037	0.6642496	0	0	
0	0	0	6	1.04975E-06	NaN	NaN	NaN	292.1225	0	75.09435	2.194536	0.007184346	-2.948077	0.0007686429	-1.086475	0.001358941	-0.5856673	0	0	475.5515	0	0.03812523	-2.358746	0.03589676	0.6323304	0.002102391	-2.467785	0.004941752	1.29573	0	0	
0	0	0	7	1.05025E-06	NaN	NaN	NaN	292.5301	0	75.45035	2.186379	0.006901439	-2.780868	0.001053244	-2.58263	0.00108143	0.982415	0	0	475.3484	0	0.0363991	-2.415134	0.04015492	0.5019673	0.01273748	-2.671129	0.01243187	-1.711054	0	0	
0	0	0	8	1.050751E-06	NaN	NaN	NaN	292.1046	0	75.85706	2.177423	0.006992816	3.136799	0.001648945	-2.590435	0.0002139623	1.293672	0	0	475.2083	0	0.03705655	-2.455216	0.03901223	0.4862144	0.01791169	-2.1994	0.004646134	0.6817396	0	0	
0	0	0	9	1.051252E-06	NaN	NaN	NaN	292.1871	0	76.32551	2.168347	0.005640747	-2.872298	0.0008997566	-2.721962	0.00114762	-0.7306034	0	0	475.069	0	0.04001809	-2.371082	0.0378124	0.6342206	0.01112545	-2.453976	0.000426838	-0.3867482	0	0	
