# www.neaspec.com
# Scan:	 	Approach Curve (PsHet)
# Project:	 	Test
# Description:	 	topol_20mufromcoupler_right_interf_peak
# Date:	 	04/03/2024 13:32:02
# Scanner Center Position (X, Y):	[µm]	65.61	45.89	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.500
# Pixel Area (X, Y, Z):	[px]	1	1	1000
# Averaging:	 	1	 	 
# Integration time:	[ms]	200	 	 
# Laser Source:	 	Tunable VIS
# Detector:	 	NIR
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	PsHet
# Tip Frequency:	[Hz]	261,649.498	 	 
# Tip Amplitude:	[mV]	9.500	 	 
# Tapping Amplitude:	[nm]	69.038	 	 
# Modulation Frequency:	[Hz]	302.835	 	 
# Modulation Amplitude:	[mV]	10,000.000	 	 
# Modulation Offset:	[mV]	-932.672	 	 
# Setpoint:	[%]	75.32	 	 
# Regulator (P, I, D):	 	2.176438	3.053181	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	14.000	 	 
# Q-Factor:	 	338.1	 	 
# Version:	 	1.10.9592.0
Row	Column	Run	Depth	Z	M	EA	EP	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	7.381483E-07	NaN	NaN	NaN	163.6169	0	70.94749	2.229529	0.009690561	-0.6989931	0.0001759259	-2.5725	0.000706967	1.857852	0	0	476.4451	0	0.5155972	-0.4036089	0.171251	-0.3493496	0.04385891	-0.117095	0.01804487	0.912648	0	0	
0	0	0	1	7.386436E-07	NaN	NaN	NaN	163.5924	0	71.9844	2.215665	0.01005161	-0.7700311	7.366907E-05	-0.5323539	0.001139391	2.185686	0	0	476.4712	0	0.5169744	-0.3996003	0.1737859	-0.3475794	0.04330263	-0.009178211	0.01509551	0.8344409	0	0	
0	0	0	2	7.391441E-07	NaN	NaN	NaN	163.6316	0	73.03462	2.20124	0.008765869	-0.8464924	0.0005745432	-2.485726	0.0004210773	2.673771	0	0	476.4866	0	0.5189064	-0.397069	0.1781838	-0.3343592	0.04649724	0.04228754	0.02350065	0.6853258	0	0	
0	0	0	3	7.396446E-07	NaN	NaN	NaN	163.6554	0	74.06115	2.186778	0.009360617	-0.9107666	0.0001554082	-1.316835	0.001081315	2.192991	0	0	476.4989	0	0.5235113	-0.3964811	0.1801378	-0.3392223	0.04615058	-0.0008364227	0.01759471	0.8872492	0	0	
0	0	0	4	7.401462E-07	NaN	NaN	NaN	163.6521	0	75.13728	2.170727	0.009864001	-0.9104141	0.0004379559	-0.8491306	0.0006085498	2.129047	0	0	476.4999	0	0.5281422	-0.4022334	0.1811119	-0.3529885	0.04976971	-0.0237619	0.02162469	0.7961079	0	0	
0	0	0	5	7.406456E-07	NaN	NaN	NaN	163.6455	0	76.28198	2.15501	0.009863189	-0.9602029	0.000535721	-0.7941929	0.0006874519	1.865528	0	0	476.4343	0	0.5262123	-0.3981822	0.1870581	-0.3568236	0.04803086	-0.02880093	0.02280469	0.6713936	0	0	
0	0	0	6	7.411461E-07	NaN	NaN	NaN	163.6271	0	77.50811	2.137031	0.01121541	-0.935083	0.0007489581	-2.493732	0.001029199	1.600338	0	0	476.4486	0	0.5292745	-0.4029474	0.1909807	-0.342308	0.0488481	-0.03437447	0.01699235	0.7188166	0	0	
0	0	0	7	7.416466E-07	NaN	NaN	NaN	163.6385	0	78.83176	2.117694	0.009919463	-1.002222	0.0003414509	-0.6835879	0.000533989	1.276328	0	0	476.4811	0	0.5327579	-0.3997774	0.195052	-0.3485409	0.05228089	-0.1159151	0.02163052	0.4948001	0	0	
0	0	0	8	7.421481E-07	NaN	NaN	NaN	163.6777	0	80.17351	2.096857	0.01013587	-1.088893	0.0002528013	-1.132622	0.000746172	1.331436	0	0	476.5605	0	0.5349804	-0.4011044	0.1979198	-0.3527337	0.05428588	-0.09242949	0.0234081	0.6606655	0	0	
0	0	0	9	7.426476E-07	NaN	NaN	NaN	163.738	0	81.44579	2.077054	0.0101379	-1.04422	0.0002401516	-1.437759	0.0003794161	2.142855	0	0	476.56	0	0.5388454	-0.4103134	0.2041095	-0.3593222	0.05447023	-0.1002916	0.0229145	0.6567991	0	0	
0	0	0	10	7.431481E-07	NaN	NaN	NaN	163.7693	0	82.7971	2.054752	0.01148706	-1.04211	0.0004130022	-0.009003764	0.0006546682	1.429024	0	0	476.5134	0	0.5418095	-0.4129879	0.2063993	-0.3542914	0.0568453	-0.09069838	0.02576337	0.8414932	0	0	
0	0	0	11	7.436486E-07	NaN	NaN	NaN	163.7395	0	84.18832	2.0308	0.01111894	-1.120777	0.0006089523	-2.239097	0.0005829777	1.625814	0	0	476.5185	0	0.542564	-0.4176872	0.2138536	-0.3691135	0.05896392	-0.1343962	0.02370234	0.7602951	0	0	
0	0	0	12	7.441502E-07	NaN	NaN	NaN	163.7171	0	85.62982	2.005347	0.0114662	-1.223642	0.0004780567	-1.239101	0.000682311	1.373357	0	0	476.5577	0	0.5460556	-0.4227439	0.2155528	-0.3672993	0.05845448	-0.1453154	0.02164346	0.8277009	0	0	
0	0	0	13	7.446496E-07	NaN	NaN	NaN	163.6874	0	87.14587	1.979245	0.009904865	-1.313589	0.0006723434	-2.66087	0.0009373845	1.723041	0	0	476.5337	0	0.5494221	-0.4255615	0.2184807	-0.3665939	0.05991559	-0.1496116	0.02593586	0.6883467	0	0	
0	0	0	14	7.451501E-07	NaN	NaN	NaN	163.7682	0	88.58298	1.9512	0.01155606	-1.339368	0.000630525	-1.505797	0.0005990139	0.1520049	0	0	476.545	0	0.5493199	-0.4256496	0.2235909	-0.3752342	0.06345075	-0.1767735	0.02062199	0.7402682	0	0	
0	0	0	15	7.456506E-07	NaN	NaN	NaN	163.6658	0	90.08711	1.921068	0.01117926	-1.419768	0.0009598485	-1.929386	0.0006081402	0.9211712	0	0	476.5884	0	0.5517196	-0.431461	0.2299523	-0.3888358	0.06591469	-0.2087931	0.02191133	0.6519676	0	0	
0	0	0	16	7.461522E-07	NaN	NaN	NaN	163.6114	0	91.52927	1.890029	0.01131073	-1.434835	0.0006302898	-1.465584	0.0005917855	0.3083355	0	0	476.6328	0	0.552969	-0.4422246	0.2321256	-0.3850338	0.06529441	-0.2410109	0.0223465	0.6816518	0	0	
0	0	0	17	7.466516E-07	NaN	NaN	NaN	163.6395	0	93.39345	1.845842	0.01110937	-1.498177	0.001000891	-2.110024	0.0007067543	1.035508	0	0	476.6282	0	0.5545688	-0.4472297	0.2372984	-0.3937198	0.06934039	-0.2435018	0.02367873	0.4620574	0	0	
0	0	0	18	7.471521E-07	NaN	NaN	NaN	163.6391	0	94.51808	1.802976	0.01129184	-1.714716	0.0008913524	-1.865025	0.0005521845	0.6631396	0	0	476.6313	0	0.5553859	-0.4558015	0.2384813	-0.392224	0.06970777	-0.2577073	0.02272566	0.6178103	0	0	
0	0	0	19	7.476526E-07	NaN	NaN	NaN	163.6138	0	95.29577	1.795444	0.01191334	-1.644587	0.0006358681	-2.022618	0.0004595848	1.30669	0	0	476.3675	0	0.5581828	-0.4690081	0.2413252	-0.4037586	0.06960255	-0.2716118	0.0207405	0.3893965	0	0	
0	0	0	20	7.481531E-07	NaN	NaN	NaN	163.5662	0	95.41778	1.79367	0.01137953	-1.625673	0.0003536464	-1.659042	0.0005078479	0.4198484	0	0	476.5944	0	0.5556839	-0.4689682	0.2425075	-0.4005242	0.06778743	-0.2188755	0.02344173	0.4880157	0	0	
0	0	0	21	7.486547E-07	NaN	NaN	NaN	163.5182	0	96.78461	1.752232	0.01247812	-1.721032	0.001347374	-2.163903	0.0009651695	0.5814354	0	0	476.8824	0	0.5557238	-0.4758137	0.2474651	-0.4130154	0.07318352	-0.3275726	0.0257109	0.6053815	0	0	
0	0	0	22	7.491541E-07	NaN	NaN	NaN	163.5728	0	97.53922	1.713554	0.01161116	-1.817227	0.0006101722	-2.444241	0.0005806643	0.6294524	0	0	476.7109	0	0.5564867	-0.5019474	0.2503486	-0.4393001	0.07400458	-0.3238957	0.022099	0.4227639	0	0	
